latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
4.144,7.981,308.3,1,1,2021-02-22,0100,A,60,6.0NRT,292.3,6,N
3.577,7.395,312.2,1.1,1,2021-02-22,0100,A,78,6.0NRT,287.9,10.2,N
-20.548,-175.396,311.4,1.5,1.2,2021-02-22,0145,A,49,6.0NRT,299.4,12.5,D
8.507,125.982,312.9,1,1,2021-02-22,0210,T,62,6.0NRT,298.3,5.7,D
6.673,125.357,317.5,1,1,2021-02-22,0210,T,63,6.0NRT,300.7,6.5,D
6.672,125.366,318.2,1,1,2021-02-22,0210,T,0,6.0NRT,301.2,7,D
-2.578,121.37,318.7,1.1,1.1,2021-02-22,0210,T,73,6.0NRT,283.9,13,D
-2.58,121.38,338.2,1.1,1.1,2021-02-22,0210,T,90,6.0NRT,289.3,41.4,D
-3.795,119.651,317.5,1.4,1.2,2021-02-22,0210,T,43,6.0NRT,295.4,12,D
41.872,123.043,301.8,3.2,1.7,2021-02-22,0200,T,42,6.0NRT,275.3,33.5,D
41.857,123.042,305.1,3.2,1.7,2021-02-22,0200,T,48,6.0NRT,275.2,41.7,D
41.86,123.036,304.9,3.2,1.7,2021-02-22,0200,T,46,6.0NRT,275.5,41.7,D
41.787,122.952,305.5,3.2,1.7,2021-02-22,0200,T,0,6.0NRT,273.1,46.9,D
41.791,122.945,305.5,3.2,1.7,2021-02-22,0200,T,50,6.0NRT,273.1,46.6,D
36.159,139.254,310.8,1.8,1.3,2021-02-22,0200,T,71,6.0NRT,296.4,14.5,D
35.053,137.07,304.7,1.4,1.2,2021-02-22,0200,T,20,6.0NRT,291.1,4.6,D
35.021,137.126,305.2,1.5,1.2,2021-02-22,0200,T,45,6.0NRT,290.9,5.2,D
35.354,134.845,300.9,1.1,1.1,2021-02-22,0200,T,37,6.0NRT,290.6,4.4,D
36,129.396,309.5,1.2,1.1,2021-02-22,0200,T,51,6.0NRT,297.3,6.7,D
34.35,132.91,300.2,1,1,2021-02-22,0200,T,21,6.0NRT,286.7,2.9,D
33.834,135.35,302.9,1.2,1.1,2021-02-22,0200,T,54,6.0NRT,288.9,7,D
33.438,134.04,302.7,1.1,1,2021-02-22,0200,T,45,6.0NRT,289.4,5.6,D
-30.865,121.495,324.4,1.4,1.2,2021-02-22,0220,T,65,6.0NRT,309,14.6,D
-20.662,116.444,312,1.2,1.1,2021-02-22,0215,T,52,6.0NRT,297.9,8.6,D
-20.942,116.152,311.9,1.3,1.1,2021-02-22,0215,T,51,6.0NRT,296,9.1,D
-22.473,114.166,311.2,1.6,1.2,2021-02-22,0215,T,40,6.0NRT,297.9,10.9,D
-38.764,-62.289,305.7,1.2,1.1,2021-02-22,0250,T,65,6.0NRT,291.7,8.7,N
-38.766,-62.302,310.6,1.2,1.1,2021-02-22,0250,T,80,6.0NRT,291.5,12.6,N
-37.509,-64.884,310.7,1.5,1.2,2021-02-22,0250,T,81,6.0NRT,288,20.2,N
-37.51,-64.901,323.3,1.5,1.2,2021-02-22,0250,T,100,6.0NRT,289.4,41.1,N
-37.512,-64.919,330.6,1.5,1.2,2021-02-22,0250,T,100,6.0NRT,289,57.6,N
-37.508,-64.889,308.9,1.5,1.2,2021-02-22,0250,T,76,6.0NRT,288.1,19.2,N
-37.51,-64.907,334.5,1.5,1.2,2021-02-22,0250,T,100,6.0NRT,290.3,68.2,N
-37.512,-64.924,316.4,1.5,1.2,2021-02-22,0250,T,93,6.0NRT,287.9,29.4,N
-37.358,-65.826,304.6,1.7,1.3,2021-02-22,0250,T,61,6.0NRT,290.8,14.6,N
-37.359,-65.845,302.1,1.7,1.3,2021-02-22,0250,T,41,6.0NRT,289.9,11.2,N
-33.814,-59.319,321.4,1,1,2021-02-22,0250,T,100,6.0NRT,291.2,20.6,N
-33.816,-59.33,320.8,1,1,2021-02-22,0250,T,100,6.0NRT,291.8,19.8,N
